#Nbpts	#Mean	#Var	#Min	#Max	#Analytical	#MSE	#NbPtsets	#Nbintegrands
4	0.001430516545095444947	0.00008139812231492999811	0.00003350288479481503668	0.05963941905762169121	0	0	1024	16384
5	0.0010639448010754057269	0.0000378070388169412338	0.00003350288479481503668	0.03771823582305641742	0	0	1024	16384
6	0.001093690696812217437	0.0000263058376090339418	0.00003350288479481503668	0.0258818914444571974	0	0	1024	16384
7	0.00086090090520464549	0.000019408248438121332	0.00003350288479481503668	0.07835863157210776198	0	0	1024	16384
8	0.0007396316566767364762	9.52214525885238605e-6	0.00003350288479481503668	0.01421146097120829649	0	0	1024	16384
10	0.00049116443056037649603	3.8411080981425628384e-6	0.00003350288479481503668	0.008875869353925662855	0	0	1024	16384
11	0.0006221857732951641422	5.33955488205863268e-6	0.00003350288479481503668	0.03098656588652027102	0	0	1024	16384
13	0.00044267748099458607011	2.251960169246751482e-6	0.00003350288479481503668	0.02192116727517371896	0	0	1024	16384
16	0.0003655094445517055599	1.556923906355287741e-6	0.00003350288479481503668	0.01421146097120829649	0	0	1024	16384
19	0.0003071731766123913314	7.39669963404992805e-7	0.00003350288479481503668	0.00989527368332594748	0	0	1024	16384
23	0.0002061399416012355317	2.760800108414943678e-7	0.00003350288479481503668	0.00658830170483293721	0	0	1024	16384
27	0.00022597102067198249783	3.281020943452888892e-7	0.00003350288479481503668	0.004662965015563865986	0	0	1024	16384
32	0.00015524350558991110929	1.3997690574194889017e-7	0.00003350288479481503668	0.003216231928001578744	0	0	1024	16384
38	0.00012776446233790948444	7.264166502298382318e-8	0.00003350288479481503668	0.002194305181567269593	0	0	1024	16384
45	0.00012765817434996316327	5.887468005754645326e-8	0.00003350288479481503668	0.001494307735272717768	0	0	1024	16384
54	0.0000902982177188683635	3.390492627043743335e-8	0.00003350288479481503668	0.002476792898509474952	0	0	1024	16384
64	0.0000761850842604478564	2.44281132833505135e-8	0.00003350288479481503668	0.003216231928001578744	0	0	1024	16384
76	0.0000689159374091233737	1.229630361663528708e-8	0.00003350288479481503668	0.001134714025656712423	0	0	1024	16384
91	0.00005576985462932265026	8.082258479647983082e-9	0.00002704877139173109636	0.0007386907196851867337	0	0	1024	16384
108	0.0000492925314146422026	7.31997405110142405e-9	0.00001204847692970066352	0.0009764918376964919385	0	0	1024	16384
128	0.000040141192977231530939	4.178676935154393909e-9	4.097921445661818974e-6	0.0006483049063981974293	0	0	1024	16384
152	0.000030788420625812715747	1.716452238609639327e-9	6.253325561929256332e-7	0.0004213832575577780028	0	0	1024	16384
181	0.00002849805059824855571	2.087821660816051606e-9	6.932993161849423397e-8	0.0004768170859985044184	0	0	1024	16384
215	0.00002278747093567140337	1.094961494830454206e-9	1.292780059959511844e-6	0.0003051186672319488929	0	0	1024	16384
256	0.000018102065202586110011	7.248042669967002227e-10	3.541614057738413002e-6	0.0003114989322473559765	0	0	1024	16384
304	0.000016090536809106673318	5.538462931386629973e-10	6.253325561929256332e-7	0.0001945655189376731926	0	0	1024	16384
362	0.000013045533396856661788	3.734154507383790668e-10	6.932993161849423397e-8	0.0001835713070634844158	0	0	1024	16384
431	9.945564560029830118e-6	1.94735823640559861e-10	1.317436632433430764e-6	0.0001092679612838377639	0	0	1024	16384
512	6.86492099786615101e-6	9.58574731941330984e-11	5.070486075115351911e-9	0.00009676327059650925179	0	0	1024	16384
609	6.403645778758920732e-6	8.46665887578287031e-11	6.083638784759124641e-7	0.00008082293131394411515	0	0	1024	16384
724	5.053550341059911058e-6	4.079924173298476955e-11	6.932993161849423397e-8	0.00004412641416007670095	0	0	1024	16384
861	4.24276110464111282e-6	3.37371191330742308e-11	3.622655498536200604e-10	0.00003394500499937579238	0	0	1024	16384
1024	3.600829385249391891e-6	2.279104644129780489e-11	5.070486075115351911e-9	0.00003350288479481503668	0	0	1024	16384
1218	2.717191172054743839e-6	1.426781063794654421e-11	1.684381539152044295e-9	0.0000325594085289714527	0	0	1024	16384
1448	2.391234598362320268e-6	1.224436378063642324e-11	6.932993161849423397e-8	0.00002768397262038929695	0	0	1024	16384
1722	1.869601223043192701e-6	5.8558295923712927e-12	3.622655498536200604e-10	0.00001667965982660342744	0	0	1024	16384
2048	1.4714282038927289392e-6	3.88793912732225705e-12	5.070486075115351911e-9	0.00001217434982648471605	0	0	1024	16384
2435	1.2196561559070450331e-6	3.362690113832248207e-12	1.49621986686193925e-9	0.00001718481524834708491	0	0	1024	16384
2896	9.883452901236407058e-7	1.921178035434896819e-12	6.723687011371542063e-9	0.00001017439596147897554	0	0	1024	16384
3444	6.960974111569127971e-7	9.68991824479521828e-13	3.622655498536200604e-10	6.928864794463969748e-6	0	0	1024	16384
4096	5.808995217368736453e-7	6.52576825353727384e-13	5.070486075115351911e-9	5.61784284616208189e-6	0	0	1024	16384
4871	4.55342894488420404e-7	4.25273844944203047e-13	1.588927362423787093e-9	5.87431438126706292e-6	0	0	1024	16384
5793	3.370278320310020535e-7	2.046247506200083657e-13	6.55853313313192312e-9	3.265993788719331363e-6	0	0	1024	16384
6889	2.282355616129967524e-7	1.104271984591843184e-13	3.308872914028529857e-10	2.971200575220727996e-6	0	0	1024	16384
8192	1.9904999139082215628e-7	7.308062915149342223e-14	2.587041396357934747e-9	2.29736685149151241e-6	0	0	1024	16384
9742	1.3743187948281904381e-7	3.350986644584868648e-14	1.588927362423787093e-9	1.18650966319253948e-6	0	0	1024	16384
11585	1.2073954646221326372e-7	3.204757986642693694e-14	2.33011628252034457e-11	1.89411668334853697e-6	0	0	1024	16384
13777	9.481897570776645273e-8	1.710636881664792285e-14	3.463976334195157478e-10	8.556063045774172875e-7	0	0	1024	16384
16384	6.803424763038324657e-8	9.06024758712275304e-15	1.034734372747234117e-10	6.458199242892621594e-7	0	0	1024	16384
19484	5.119815154567920582e-8	5.17868503049593436e-15	1.313960515559938511e-10	4.606023835769344133e-7	0	0	1024	16384
23170	4.057062165658586484e-8	3.482458733941472418e-15	2.33011628252034457e-11	4.253857011524133571e-7	0	0	1024	16384
27554	3.306235606972887447e-8	1.7523546654063439e-15	3.12603995516300028e-10	2.77418114288972165e-7	0	0	1024	16384
32768	2.580519095117444105e-8	1.260311239424200405e-15	1.034734372747234117e-10	2.79810337385867044e-7	0	0	1024	16384
