#Nbpts	#Mean	#Var	#Min	#Max	#VOID	#VOID	#NbPtsets	#VOID
2	0.01388563664106198317	1.356034170767379e-10	0.01387606626760716846	0.01390534198380737052	0	0	5	0
3	0.01008760974022213548	5.98222225454292e-10	0.01006322553891345235	0.0101287776070664755	0	0	5	0
4	0.006187491184421601773	5.85421327886082592e-6	0.00438200767649300077	0.01033064441831124322	0	0	5	0
5	0.003373019024422005407	1.99342989743049215e-8	0.003121053146498392779	0.003449994340745318744	0	0	5	0
6	0.002354316367449205399	4.17765066867208509e-7	0.001882379265234915625	0.003491185986426370656	0	0	5	0
7	0.001849791317928364603	1.39814444420853711e-7	0.001332882257686934802	0.002361968330061386956	0	0	5	0
8	0.001246518595307776226	3.0817081332561371e-8	0.00101633522580733761	0.001466700144796673168	0	0	5	0
9	0.001159689888599568439	5.039321006389857e-8	0.0008185421742741892746	0.001440429027600016688	0	0	5	0
10	0.00100950514832909082	6.604307786431294e-9	0.0009050103268779760048	0.00109609367620769403	0	0	5	0
11	0.00115270166468795731	1.5637679996989362e-8	0.0009517466646204871764	0.001253582053896392604	0	0	5	0
12	0.0007035322086025329758	2.172672296318900012e-8	0.0005713067767665097781	0.0009557473506088462727	0	0	5	0
13	0.0006795570892878656012	4.846757201917246733e-8	0.0003803607245235860888	0.0009457590439620063537	0	0	5	0
14	0.0004598450359751376495	1.004228478430054574e-8	0.0003536169383775876127	0.0006252750600521895727	0	0	5	0
15	0.0005437720221877157	2.67555555014059005e-8	0.0003600448459642009366	0.0007385659633784258079	0	0	5	0
16	0.0003457182134358877698	5.816008835780424e-10	0.0003180165777859386808	0.0003664554679617054787	0	0	5	0
17	0.0003141625948496974967	1.3119356351999948e-9	0.0002746294909574444878	0.0003692121021081028447	0	0	5	0
18	0.0002602593247965020421	2.23345409807201843e-9	0.0002199956121529096718	0.000336342624473514565	0	0	5	0
19	0.0003093083765843963277	1.63450115766546276e-9	0.0002597765470301834946	0.0003616742542328775143	0	0	5	0
20	0.0002956756620501053696	1.27355496676513837e-9	0.0002685417021863541632	0.0003569637777073385418	0	0	5	0
21	0.0001937877491317867426	2.6824936764092112e-10	0.0001735326708849464783	0.000210745557565158732	0	0	5	0
22	0.0002017811914516893037	4.21948605763184968e-10	0.0001750053847825183977	0.0002276922592145840299	0	0	5	0
23	0.0002101891908136859649	1.57691541853658594e-9	0.000156285882673051389	0.0002609406588464045491	0	0	5	0
24	0.0001495303055887222603	6.500183997459024e-10	0.0001287836042468858068	0.0001910515259347018199	0	0	5	0
25	0.0001551705444448266613	8.3406165570932531e-10	0.0001357179988937091909	0.0002055626973392790755	0	0	5	0
26	0.0001432784256556875614	5.2763616684892429e-10	0.000107951801781472253	0.0001647871158394147812	0	0	5	0
27	0.00013971251136363557614	1.22247710397288933e-9	0.00009589056681476338404	0.0001805684659309137884	0	0	5	0
28	0.0001178521499004989755	3.0316379664658236e-10	0.00009816310365979835759	0.00014547792455398459	0	0	5	0
29	0.0001393941671897734412	7.3895932648451851e-10	0.0001076448040428532678	0.000172577207564062737	0	0	5	0
30	0.0001260635381442249986	2.2559974557152814e-10	0.0001108732695788075263	0.000147210658037634279	0	0	5	0
31	0.00010688906704634508916	1.26639748122119903e-10	0.00009539955548024941644	0.0001229940983430422279	0	0	5	0
32	0.00008118506571141713998	3.82834117039044028e-11	0.00007348365270344805339	0.00008756620929075575486	0	0	5	0
33	0.00009475019264540446187	6.7309579390162196e-10	0.0000761645426543372213	0.0001391337838710257038	0	0	5	0
34	0.0000854377280051304923	3.7384978258529994e-11	0.0000759962372042192883	0.000089988316547015684	0	0	5	0
35	0.00008291240700889192998	4.05952535368850928e-11	0.0000748118173755712789	0.0000896171079343665558	0	0	5	0
36	0.00008655160490761279934	8.5343714626183408e-11	0.00007722037694281911702	0.0000995314555588301404	0	0	5	0
37	0.00007318933252085238548	8.62544094651024913e-11	0.00006119780134616821824	0.00008138760750415766835	0	0	5	0
38	0.00008036378430311166257	4.90749414346125777e-10	0.00006326027953451675051	0.0001184236582915262578	0	0	5	0
39	0.00007072850095178755169	4.9280381066093479e-11	0.00006076918978911432926	0.00007639017138889015964	0	0	5	0
40	0.00006419623656838098702	1.17095943916631365e-10	0.00005560002009680211444	0.00008272588770162228415	0	0	5	0
41	0.0000684845868564603805	2.624880193002316119e-10	0.00005151310999059371997	0.00009370055568500770674	0	0	5	0
42	0.00005591754547304481461	3.08843440731513693e-11	0.00004725043081090138082	0.00006095541238134058427	0	0	5	0
43	0.00006042879798973519909	1.304467191846290608e-10	0.000052578063029223744	0.00008034687726196423625	0	0	5	0
44	0.00006433032990153826213	2.136010363394009851e-10	0.00004872258182606444476	0.00008633504893884157844	0	0	5	0
45	0.00005390732337576683805	2.23797969082089875e-11	0.00004690985833499313623	0.00005862693747273564789	0	0	5	0
46	0.00006003885410147737507	4.69995302820278261e-11	0.00005239539672381610683	0.00006909731262021960726	0	0	5	0
47	0.00005149753489181163726	1.66350100436679739e-11	0.0000483449500958023354	0.00005854021740803612542	0	0	5	0
48	0.00005068542891265920215	6.38776574947014189e-11	0.00004032916918686274782	0.00006186495407179489099	0	0	5	0
49	0.00004976803761186378544	9.26916239455330786e-11	0.00003739669083834447621	0.00006038655393660507571	0	0	5	0
50	0.00005416881092696446376	5.73912988707925842e-11	0.00004417220581466030078	0.0000636258160302571082	0	0	5	0
51	0.00004629516149096509143	4.94059675645302994e-11	0.00003640661910079684958	0.00005438435801743895728	0	0	5	0
52	0.00004018174156350590089	4.19841556983605953e-11	0.00003155260864100462606	0.00004663101322251070698	0	0	5	0
53	0.00005363111979809105374	3.558018855573442075e-10	0.00003451466150549730626	0.00008185044242798642888	0	0	5	0
54	0.00003848926262769886841	3.84541613142147893e-11	0.00002810074748060015378	0.0000429503304474016743	0	0	5	0
55	0.00003997940895846492025	2.80150057598047047e-11	0.00003389716605189870984	0.00004824755127600200767	0	0	5	0
56	0.00003696614294540342613	3.22918735702767075e-11	0.00003251689900973785423	0.00004692151644021376819	0	0	5	0
57	0.00003618032155149812732	4.41842276209712056e-11	0.00002830802515218871601	0.00004420160217791205308	0	0	5	0
58	0.0000368381033840839699	5.11548171612430065e-11	0.00002878475324073436051	0.0000465905822866444043	0	0	5	0
59	0.00003575440170948247665	3.30574091324006261e-11	0.00002868859316504206508	0.00004227026006402839758	0	0	5	0
60	0.00002994987472262908502	2.6257165345818482e-11	0.00002367293809982998068	0.00003454112010740099443	0	0	5	0
61	0.0000300927108236161767	9.8518540365523846e-12	0.0000252369153389749858	0.00003313333269258461838	0	0	5	0
62	0.00002803577254542512497	2.53128648392968897e-11	0.00002066956096250519831	0.0000334532799667412232	0	0	5	0
63	0.00002930118510760907976	2.77946155082288647e-11	0.00002220473095956775216	0.00003409790933172248539	0	0	5	0
64	0.00003049867040940732504	1.42627538619492694e-11	0.0000266744324151796848	0.00003464165568181305966	0	0	5	0
65	0.0000267627377825315472	5.2553036476583641e-12	0.0000231989991440906855	0.00002892664781480285951	0	0	5	0
66	0.0000284458683279841181	1.08849137559488428e-11	0.00002515206284019349029	0.00003367538636094602906	0	0	5	0
67	0.0000294601018992156928	8.7323552198251637e-12	0.0000268775290519434289	0.00003334158688141890817	0	0	5	0
