#Nbpts	#Mean	#Var	#Min	#Max	#Analytical	#MSE	#NbPtsets	#Nbintegrands
4	0.03226321744576590055	0.000027606368251960159	0.02464137097552774464	0.04130447334114386443	0	0	1024	262144
5	0.02831097896138430798	0.000167585569321263895	0.008726990405202413731	0.05999095359111239478	0	0	1024	262144
6	0.01825776217681025992	0.0000324137288351507936	0.008528677504171236143	0.029218662733679318	0	0	1024	262144
7	0.01597838205084839874	0.0000455746119258161985	0.006452166005097095987	0.03474033263720396197	0	0	1024	262144
8	0.01002593796122060133	3.68989332907870713e-6	0.006716253947633961906	0.01715260509705984066	0	0	1024	262144
10	0.008033061505250716	5.519617286768099e-6	0.003572386822467272551	0.01762295151093709947	0	0	1024	262144
11	0.007647299971835937447	0.00001001728288149806479	0.002752133862630476088	0.02082793145603183821	0	0	1024	262144
13	0.005561219864945606	4.977585090051244e-6	0.002183499983664219726	0.0145223548766797161	0	0	1024	262144
16	0.0031259060669510882	1.9135023613874782e-7	0.002173653869005808502	0.005033187876534056006	0	0	1024	262144
19	0.003079184844825500793	1.135860528209511295e-6	0.001180971648200438481	0.008111918891880251156	0	0	1024	262144
23	0.002181264305201965606	4.28370791515438093e-7	0.0009246570870966267387	0.004205683589804351183	0	0	1024	262144
27	0.0016929534541065417	2.8135397088174856e-7	0.0008639978733198110279	0.003827970282899805562	0	0	1024	262144
32	0.0009932672411294735	1.0813339809717228e-8	0.0007182898366487161209	0.001420718424936525054	0	0	1024	262144
38	0.0009318671247954865	3.309863805233245e-8	0.0005335472552839187798	0.001640133971541976425	0	0	1024	262144
45	0.0007620142674432057	3.9307646144122256e-8	0.0004029843253524610668	0.001819309749342483537	0	0	1024	262144
54	0.0005211886196778258	8.265364204509855e-9	0.0003039855897363898736	0.0008702087484123866706	0	0	1024	262144
64	0.00032487920606283	7.280720585748021e-10	0.0002441167030168604703	0.000425010324425074775	0	0	1024	262144
76	0.00030400848842443163	2.026805702574503e-9	0.0002009546329447864951	0.000477993539314705866	0	0	1024	262144
91	0.0002462163069242959931	2.57843607786480304e-9	0.000149637027408120197	0.0004678986788462910409	0	0	1024	262144
108	0.0001734981698464525307	5.3025831923323009e-10	0.0001233059328454403649	0.0002837847848440654759	0	0	1024	262144
128	0.00010760029284399649	3.762860411587237e-11	0.00009060586716044882543	0.0001283036433450935286	0	0	1024	262144
152	0.0001018267621726748515	9.7220922690822521e-11	0.00007438447563073176513	0.0001488941428463760592	0	0	1024	262144
181	0.00008324808395399468	1.572239123048441e-10	0.00005964601645141215012	0.000140272643279587301	0	0	1024	262144
215	0.00006269436649172284	7.317375473585205e-11	0.00004497533120896258184	0.0000916973082578715666	0	0	1024	262144
256	0.00003630402468635326	2.9774106484885705e-12	0.00003162604821112839978	0.00004215562800511444251	0	0	1024	262144
304	0.00003463769876004318	5.846799015106136e-12	0.0000286805835904912362	0.00004707187805522042128	0	0	1024	262144
362	0.00002792343480425373333	6.2251099599326417e-12	0.00002201683413783909657	0.00003721003483614908634	0	0	1024	262144
